咪咕,#genre#
东方卫视HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221227964/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229092/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229350/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221227939/index.m3u8
江苏卫视HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228032/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229298/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229110/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229116/index.m3u8
东南卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229068/index.m3u8
厦门卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229184/index.m3u8
黑龙江卫视HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228374/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228398/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229104/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229109/index.m3u8
辽宁卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229368/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229112/index.m3u8
江西卫视HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229374/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229058/index.m3u8
Y+频道,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221230226/index.m3u8
欢笑剧场4K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221230739/index.m3u8
炫动3D,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221230386/index.m3u8
CIBN综合,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r4/peoplecn/xinqidian/600/index.m3u8?&encrypt=
CIBN微电影,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r4/peoplecn/cibnweimovie/600/index.m3u8?&encrypt=
CIBN真人秀,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r3/peoplecn/cibnzhenrenxiu/600/index.m3u8?&encrypt=
CIBN纪录片,http://183.131.128.233/live.hcs.cmvideo.cn:8088/wd_r3/2018/peoplecn/cibnjlpd/1000/index.m3u8?&encrypt=
